Date,SP500,DAX,Nikkei
1988-01-04,255.9400,956.4900,21217.0391
1988-01-05,258.6300,996.1000,21575.2793
1988-01-06,258.8900,1006.0100,22790.5000
1988-01-07,261.0700,1014.4700,22792.1309
1988-01-08,243.4000,1026.6899,22872.5605
1988-01-11,247.4900,987.5200,22578.4297
1988-01-12,245.4200,986.8900,22625.0508
1988-01-13,245.8100,965.7700,22324.9902
1988-01-14,245.8800,974.4600,22603.6504
1988-01-18,251.8800,1003.1300,22910.1992
1988-01-19,249.3200,980.1800,22898.1699
1988-01-20,242.6300,960.4400,22843.1406
1988-01-21,243.1400,949.2400,22710.2598
1988-01-22,246.5000,966.4800,22876.5801
1988-01-25,252.1700,962.6300,23318.4004
1988-01-26,249.5700,968.2600,23498.7598
1988-01-27,249.3800,959.6700,23335.9102
1988-01-28,253.2900,937.7600,23587.2500
1988-01-29,257.0700,936.0000,23622.3203
1988-02-01,255.0400,951.5000,23732.3203
1988-02-02,255.5700,955.6700,23672.2109
1988-02-03,252.2100,972.1900,23595.3691
1988-02-04,252.2100,990.2200,23709.0996
1988-02-05,250.9600,979.3800,23650.8008
1988-02-08,249.1000,986.9500,23771.5996
1988-02-09,251.7200,983.3100,23662.2695
1988-02-10,256.6600,997.1400,23771.8809
1988-02-12,257.6300,1033.4900,23981.9395
1988-02-16,259.8300,1055.7700,24345.6602
1988-02-17,259.2100,1053.2700,24429.9492
1988-02-18,257.9100,1051.9399,24675.3594
1988-02-19,261.6100,1046.7800,24773.4102
1988-02-22,265.6400,1059.4800,24846.7109
1988-02-23,265.0200,1069.0300,24949.4492
1988-02-24,264.4300,1069.9000,24968.6504
1988-02-25,261.5800,1091.5900,25100.6602
1988-02-26,262.4600,1079.4000,25165.1797
1988-02-29,267.8200,1083.3400,25242.8105
1988-03-01,267.2200,1087.3199,25435.9004
1988-03-02,267.9800,1080.4399,25682.8203
1988-03-03,267.8800,1082.2400,25596.3105
1988-03-04,267.3000,1075.1300,25615.6191
1988-03-07,267.3800,1077.3700,25616.5801
1988-03-08,269.4300,1079.4200,25465.7305
1988-03-09,269.0600,1078.6200,25605.3906
1988-03-10,263.8400,1082.5400,25617.8203
1988-03-11,264.9400,1073.4500,25543.7305
1988-03-14,266.3700,1071.8900,25433.5098
1988-03-15,266.1300,1088.1300,25475.6699
1988-03-16,268.6500,1098.7600,25704.4297
1988-03-17,271.2200,1104.2700,25872.2891
1988-03-18,271.1200,1123.2700,25966.2598
1988-03-22,268.8400,1107.1000,25842.7500
1988-03-23,268.9100,1116.1100,25895.2305
1988-03-24,263.3500,1100.4500,25781.2793
1988-03-25,258.5100,1065.7100,25626.7109
1988-03-28,258.0600,1037.2600,25622.7109
1988-03-29,260.0700,1062.3300,25953.0898
1988-03-30,258.0700,1066.5000,26320.0703
1988-03-31,258.8900,1062.3300,26260.2598
1988-04-05,258.5100,1063.2800,26315.3496
1988-04-06,265.4900,1073.0200,26511.1699
1988-04-07,266.1600,1081.9000,26769.2207
1988-04-08,269.4300,1078.4100,26748.8906
1988-04-11,270.1600,1088.2400,26924.8691
1988-04-12,271.3700,1102.3300,26930.8398
1988-04-13,271.5800,1094.1200,26985.5508
1988-04-14,259.7500,1093.1200,27111.3496
1988-04-15,259.7700,1071.2300,26893.5703
1988-04-18,259.2100,1075.1300,26671.4492
1988-04-19,257.9200,1083.4500,26657.0000
1988-04-20,256.1300,1075.7600,26864.0898
1988-04-21,256.4200,1067.5000,26828.1602
1988-04-22,260.1400,1067.0601,26837.1191
1988-04-25,262.5100,1066.8199,27213.4492
1988-04-26,263.9300,1053.7100,27246.7695
1988-04-27,263.8000,1054.3000,27191.9707
1988-04-28,262.6100,1058.2500,27434.1191
1988-05-02,261.5600,1052.8400,27669.7207
1988-05-06,257.4800,1037.2400,27534.3906
1988-05-09,256.5400,1023.6200,27264.3008
1988-05-10,257.6200,1010.1500,27412.2500
1988-05-11,253.3100,994.3500,27161.0508
1988-05-13,256.7800,1006.9700,27468.3105
1988-05-16,258.7100,1049.5900,27759.8691
1988-05-17,255.3900,1046.3600,27819.9805
1988-05-18,251.3500,1043.2000,27767.5801
1988-05-19,252.5700,1020.3200,27373.2402
1988-05-20,253.0200,1031.3300,27393.8496
1988-05-24,253.5100,1031.9200,27312.6602
1988-05-25,253.7600,1043.6100,27443.6504
1988-05-26,254.6300,1046.6200,27428.2402
1988-05-27,253.4200,1054.9200,27290.4902
1988-05-31,262.1600,1075.6600,27416.6992
1988-06-01,266.6900,1095.4301,27703.9102
1988-06-03,266.4500,1102.0300,27821.5391
1988-06-06,267.0500,1105.9100,27996.2402
1988-06-07,265.1700,1101.1300,27967.3203
1988-06-08,271.5200,1097.6700,27912.6504
1988-06-09,270.2000,1125.6600,28072.0195
1988-06-10,271.2600,1115.7800,27920.3594
1988-06-13,271.4300,1122.2600,28036.5391
1988-06-14,274.3000,1117.8400,28061.8008
1988-06-15,274.4500,1134.0200,28093.5195
1988-06-16,269.7700,1124.1400,28147.3203
1988-06-20,268.9400,1104.7000,28139.0293
1988-06-21,271.6700,1119.5601,27925.5703
1988-06-22,275.6600,1137.2300,27860.7793
1988-06-23,274.8200,1135.7700,27732.9297
1988-06-24,273.7800,1131.1899,27750.3906
1988-06-27,269.0600,1138.8400,27435.0098
1988-06-28,272.3100,1124.7300,27398.0898
1988-06-29,270.9800,1133.5200,27607.3301
1988-06-30,273.5000,1133.8101,27769.4004
1988-07-01,271.7800,1153.6801,27503.5293
1988-07-05,275.8100,1177.4000,27577.1699
1988-07-06,272.0200,1194.9600,27766.5996
1988-07-07,271.7800,1186.4200,27728.1309
1988-07-08,270.0200,1199.9200,27917.0801
1988-07-11,270.5500,1191.5300,27985.9902
1988-07-12,267.8500,1182.4700,28099.8398
1988-07-13,269.3200,1167.7400,28020.0996
1988-07-14,270.2600,1185.1500,28084.0801
1988-07-15,272.0500,1189.5900,27913.7891
1988-07-18,270.5100,1188.4000,27662.1191
1988-07-19,268.4700,1168.5800,27149.0293
1988-07-20,270.0000,1169.7900,27553.9805
1988-07-21,266.6600,1181.0500,27676.1406
1988-07-22,263.5000,1156.2500,27285.0098
1988-07-25,264.6800,1149.7700,27183.5293
1988-07-26,265.1900,1167.6500,27303.7598
1988-07-27,262.5000,1176.5000,27738.5703
1988-07-28,266.0200,1163.2700,27796.0898
1988-07-29,272.0200,1178.5300,27911.6309
1988-08-01,272.2100,1190.6700,28326.3105
1988-08-02,272.0600,1187.1100,28366.3301
1988-08-03,272.9800,1192.4200,28348.4492
1988-08-04,271.9300,1182.9800,28292.6602
1988-08-05,271.1500,1193.8700,28423.3809
1988-08-08,269.9800,1202.2800,28253.1191
1988-08-09,266.4900,1193.4600,28170.3594
1988-08-10,261.9000,1174.9900,27554.8691
1988-08-11,262.7500,1162.7600,27784.9805
1988-08-12,262.5500,1172.6100,27833.5098
1988-08-15,258.6900,1170.4399,27901.2891
1988-08-16,260.5600,1158.6100,27896.5508
1988-08-17,260.7700,1175.0300,28178.8594
1988-08-18,261.0300,1180.3900,28129.3594
1988-08-19,260.2400,1164.4700,28209.4199
1988-08-22,256.9800,1165.9800,28079.1797
1988-08-23,257.0900,1151.4600,27919.9492
1988-08-24,261.1300,1161.6801,27799.6699
1988-08-25,259.1800,1164.6500,27870.4395
1988-08-26,259.6800,1156.5800,27565.4102
1988-08-29,262.3300,1150.9700,27379.0996
1988-08-30,262.5100,1164.3000,27511.6504
1988-08-31,261.5200,1169.4600,27365.9492
1988-09-01,258.3500,1154.3300,26934.2598
1988-09-02,264.4800,1152.9200,27116.5000
1988-09-06,265.5900,1176.7700,27320.5098
1988-09-07,265.8700,1182.5400,27504.0098
1988-09-08,265.8800,1186.8600,27740.1094
1988-09-09,266.8400,1186.5900,27647.0996
1988-09-12,266.4700,1199.8300,27756.7402
1988-09-13,267.4300,1211.2400,27794.1602
1988-09-14,269.3100,1224.0500,27805.6699
1988-09-16,270.6500,1229.2800,27866.3809
1988-09-19,268.8200,1248.4700,27901.0000
1988-09-20,269.7300,1243.0400,27548.5801
1988-09-21,270.1600,1257.8000,27712.6602
1988-09-22,269.1800,1250.0699,27428.3105
1988-09-26,268.8800,1254.9301,27333.7500
1988-09-27,268.2600,1252.5400,27499.5605
1988-09-28,269.0800,1239.9000,27752.0098
1988-09-29,272.5900,1248.0100,27700.1309
1988-09-30,271.9100,1253.6801,27923.6699
1988-10-03,271.3800,1243.2800,27545.5293
1988-10-04,270.6200,1245.2600,27501.0195
1988-10-05,271.8600,1252.2600,27405.4902
1988-10-06,272.3900,1257.5800,27172.3398
1988-10-07,278.0700,1265.0601,27258.2695
1988-10-11,277.9300,1275.5200,27469.5996
1988-10-12,273.9800,1263.0000,27409.3691
